City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
378,sucua,-2.4667,-78.1667,20.13,87,87,0.95,EC,1683195911
379,bhawanipatna,19.9,83.1667,35.25,32,39,1.69,IN,1683195912
380,manggar,-2.8833,108.2667,28.73,74,81,1.21,ID,1683195913
381,eenhana,-17.4667,16.3333,30.54,21,0,2.43,NA,1683195913
382,terbanggi besar,-4.8667,105.2333,28.51,80,99,2.96,ID,1683195914
383,formosa do rio preto,-11.0483,-45.1931,21.77,86,3,1.41,BR,1683195914
384,ketchikan,55.3422,-131.6461,5.99,81,0,2.57,US,1683195916
385,severo-yeniseyskiy,60.3725,93.0408,4.9,85,91,4.67,RU,1683195917
386,roha,18.4333,73.1167,33.0,44,91,6.47,IN,1683195918
387,jimma,7.6667,36.8333,24.24,56,58,1.45,ET,1683195918
388,kubinka,55.5839,36.69,12.0,32,29,1.88,RU,1683195919
389,magong,23.5654,119.5863,26.48,83,0,6.22,TW,1683195920
390,mizdah,31.4451,12.9801,23.74,26,2,4.74,LY,1683195920
391,hausjarvi,60.7833,24.9333,6.18,41,97,4.22,FI,1683195921
392,guajara mirim,-10.7828,-65.3394,21.41,99,26,0.61,BR,1683195921
393,sao felix do xingu,-6.6447,-51.995,21.59,99,26,0.43,BR,1683195922
394,presidencia de la plaza,-27.0015,-59.8424,14.92,84,100,0.27,AR,1683195922
395,coquimbo,-29.9533,-71.3436,10.85,87,100,2.57,CL,1683195797
396,urengoy,65.9667,78.3667,0.37,100,100,4.08,RU,1683195924
397,chefchaouene,35.1688,-5.2636,22.76,33,100,1.17,MA,1683195924
398,tchintabaraden,15.8969,5.7985,39.27,11,2,2.87,NE,1683195925
399,tralee,52.2704,-9.7026,12.14,82,100,5.14,IE,1683195925
400,amungan,15.3652,119.9582,29.11,74,85,3.58,PH,1683195926
401,sarmiento,-45.5882,-69.07,12.62,62,100,9.17,AR,1683195927
402,kununurra,-15.7667,128.7333,22.99,60,6,1.54,AU,1683195927
403,huicungo,-7.2833,-76.8,19.53,99,66,0.79,PE,1683195928
404,suizhou,31.7111,113.3631,22.19,86,99,5.05,CN,1683195928
405,vadso,70.0744,29.7487,0.09,64,75,6.69,NO,1683195929
406,coahuayana de hidalgo,18.7,-103.6583,22.83,57,81,1.46,MX,1683195931
407,monforte de lemos,42.5216,-7.5142,17.54,51,15,4.89,ES,1683195931
408,vila do maio,15.1333,-23.2167,28.44,81,26,7.75,CV,1683195932
409,el rosario,24.2556,-107.1828,21.62,64,100,2.15,MX,1683195932
410,sisimiut,66.9395,-53.6735,0.74,99,100,0.4,GL,1683195933
411,peace river,56.2501,-117.286,8.17,49,40,2.06,CA,1683195934
412,prince rupert,54.3161,-130.3201,7.83,99,0,2.57,CA,1683195913
413,tomatlan,19.9333,-105.25,22.22,51,100,1.0,MX,1683195935
414,baruun-urt,46.6806,113.2792,7.87,28,100,5.84,MN,1683195936
415,khash,28.2211,61.2158,29.89,11,0,5.63,IR,1683195936
416,labrador city,52.9463,-66.9114,1.95,93,100,2.06,CA,1683195937
417,sinop,41.7711,34.8709,15.24,48,96,3.16,TR,1683195937
418,qarqaraly,49.4058,75.4742,9.85,30,13,5.24,KZ,1683195938
419,pelabuhanratu,-6.9875,106.5514,27.38,88,81,0.56,ID,1683195938
420,east ballina,-28.8667,153.5833,17.75,66,0,3.69,AU,1683195939
421,paramonga,-10.6667,-77.8333,22.27,88,87,3.92,PE,1683195939
422,denmead,50.9042,-1.0663,18.17,78,100,8.88,GB,1683195941
423,sakaiminato,35.55,133.2333,19.96,68,75,2.06,JP,1683195941
424,wahpeton,46.2652,-96.6059,9.4,75,0,3.09,US,1683195942
425,tianshui,34.5439,105.6897,17.7,29,85,5.42,CN,1683195942
426,funafuti,-8.5243,179.1942,29.0,89,40,2.06,TV,1683195943
427,enoch,37.7733,-113.0244,6.93,81,0,2.06,US,1683195943
428,puerto armuelles,8.2833,-82.8667,26.25,84,97,1.4,PA,1683195945
429,aldinga beach,-35.2793,138.4604,15.37,78,54,3.53,AU,1683195945
430,ubinskoye,55.3068,79.6802,17.12,22,90,5.52,RU,1683195945
431,bougouni,11.417,-7.479,34.89,32,47,3.01,ML,1683195946
432,notodden,59.5594,9.2585,8.75,41,75,1.03,NO,1683195946
433,enriquillo,17.9,-71.2333,25.0,88,78,3.67,DO,1683195948
434,roma,43.2128,-75.4557,6.4,93,100,0.0,US,1683195948
435,sampit,-2.5333,112.95,26.54,93,90,1.48,ID,1683195948
436,as sulayyil,20.4607,45.5779,37.14,10,55,6.58,SA,1683195949
437,seven pagodas,12.6264,80.1722,34.03,66,82,3.19,IN,1683195951
438,ust-kamenogorsk,49.9789,82.6103,14.96,16,40,11.0,KZ,1683195952
439,tinajo,29.0788,-13.7081,24.49,44,40,6.69,ES,1683195953
440,presidente medici,-11.1753,-61.9014,21.01,97,3,0.94,BR,1683195954
441,wainwright,52.839,-110.8572,13.58,61,86,4.72,CA,1683195955
442,mazar-e sharif,36.709,67.1109,32.1,12,29,5.06,AF,1683195955
443,bikenibeu village,1.3673,173.1241,28.98,74,75,1.54,KI,1683195955
444,ust'-kulom,61.6864,53.6902,11.7,44,64,5.24,RU,1683195956
445,roccella ionica,38.322,16.4009,18.53,69,29,5.26,IT,1683195956
446,luang namtha,20.9497,101.4011,34.01,49,20,4.12,LA,1683195956
447,machico,32.7,-16.7667,22.29,70,40,3.09,PT,1683195957
448,kapit,2.0167,112.9333,26.68,96,83,0.55,MY,1683195957
449,hami,42.8,93.45,17.52,13,11,3.47,CN,1683195958
450,laojunmiao,39.8333,97.7333,15.51,21,100,5.49,CN,1683195958
451,dazhou,31.2159,107.5009,25.83,70,64,1.04,CN,1683195959
452,tromso,69.6496,18.957,1.88,86,100,3.6,NO,1683195959
453,healesville,-37.65,145.5167,14.01,89,3,1.27,AU,1683195959
454,rikaze,29.25,88.8833,16.04,13,100,7.64,CN,1683195960
455,nikolayevsk-on-amure,53.1406,140.73,0.3,83,100,4.72,RU,1683195699
456,kill devil hills,36.0307,-75.676,12.21,66,0,4.63,US,1683195960
457,titao,13.7667,-2.0667,37.9,22,9,4.31,BF,1683195960
458,slave lake,55.2834,-114.769,14.99,47,75,2.57,CA,1683195961
459,sedrata,36.1287,7.5338,20.64,23,81,2.9,DZ,1683195961
460,namsos,64.4662,11.4957,5.03,70,75,3.09,NO,1683195961
461,sur,22.5667,59.5289,30.37,61,3,4.3,OM,1683195962
462,obo,5.3998,26.4869,31.71,41,91,1.7,CF,1683195962
463,imperatriz,-5.5264,-47.4917,24.03,94,0,1.54,BR,1683195823
464,kupang,-10.1667,123.5833,27.32,83,20,3.6,ID,1683195963
465,chany,55.3121,76.7647,18.72,18,89,5.72,RU,1683195963
466,shulan,44.4167,126.95,16.02,74,100,1.66,CN,1683195964
467,martapura,-3.4167,114.85,30.05,74,20,3.09,ID,1683195965
468,kangding,30.0513,101.9603,15.16,88,75,2.89,CN,1683195965
469,egilsstadir,65.2653,-14.3948,7.95,57,40,9.26,IS,1683195966
470,luwuk,-0.9516,122.7875,27.26,89,61,1.95,ID,1683195966
471,diu,20.7141,70.9822,31.25,56,9,5.98,IN,1683195967
472,baiyin,36.5583,104.2081,15.32,34,39,6.91,CN,1683195967
473,malpica,43.3228,-8.8105,17.35,67,2,7.26,ES,1683195968
474,marsabit,2.3284,37.9899,22.39,66,96,5.6,KE,1683195968
475,dudinka,69.4058,86.1778,-2.52,90,97,3.08,RU,1683195969
476,casablanca,33.5928,-7.6192,25.12,68,75,4.12,MA,1683195561
477,mindelo,16.8901,-24.9804,24.75,73,75,15.43,CV,1683195969
478,anse a galets,18.8317,-72.8642,27.13,76,100,3.25,HT,1683195970
479,jeju city,33.5097,126.5219,18.96,94,100,2.06,KR,1683195685
480,netanya,32.3329,34.8599,35.02,36,0,2.31,IL,1683195971
481,sandersville,32.9815,-82.8101,6.82,61,24,1.57,US,1683195972
